SUBBLDG_ID,BLDG_ID,ADD_ID,NAME,NOTES,CLASS_CODE,REC_IDS,BLDG_USE,GBA,BLDG_TYPE,GREEN_STATUS,PLACENAME,PLACENAME2,PLACENAME3,PLACENAME4,ABBREVIATEDPLACENAME,BUILDING_SHORTCODE,FULLADDRESS,MUNINAME,PROVINCE,POSTALCODE
BOTR04,BOTR,AD-113,Botanical Garden Workshop,,,090,,512,Section,,Botanical Garden Workshop,Workshop,Botanical Garden Workshop,,,,3929 Wesbrook Mall,Vancouver,BC,V6T 1W5
COST03,COST,AD-280,Coast Duplex 1,Updated Footprint,,831-1,,,Townhouses,REAP Bronze,,,,,,,,,,
COST04,COST,AD-280,Coast Duplex 2,Updated Footprint,,831-2,,,Townhouses,REAP Bronze,,,,,,,,,,
COST07,COST,AD-280,Coast Duplex 5,Updated Footprint,,831-5,,,Townhouses,REAP Bronze,,,,,,,,,,
COST05,COST,AD-280,Coast Duplex 3,Updated Footprint,,831-3,,,Townhouses,REAP Bronze,,,,,,,,,,
COST06,COST,AD-280,Coast Duplex 4,Updated Footprint,,831-4,,,Townhouses,REAP Bronze,,,,,,,,,,
COST08,COST,AD-280,Coast TH,,,832-3,,,Townhouses,REAP Bronze,,,,,,,,,,
EOSM01,EOSM,AD-178,EOS - Main,,EOSM,402,,9107,Section,,Pacific Museum,Pacific Museum,EOS,Pacific Museum,,,6339 Stores Road,Vancouver,BC,V6T 1Z4
EOSM02,EOSM,AD-178,EOS - South,,EOSS,403,,1620,Section,,South,South,EOS,South,,,6339 Stores Road,Vancouver,BC,V6T 1Z4
ENSF02,ENSF,AD-127,ESF Office,,,139,,30,Section,,,,,,,,,,,
FARM04,FARM,AD-112,Farm - Botany Greenhouse 1,,,071-1,,104,Section,,Botany Greenhouse 1,Greenhouse 1,UBC Farm,,,,3461 Ross Drive,Vancouver,BC,V6T 1W5
FARM05,FARM,AD-112,Farm - Botany Greenhouse 2,,,071-2,,143,Section,,Botany Greenhouse 2,Greenhouse 2,UBC Farm,,,,3461 Ross Drive,Vancouver,BC,V6T 1W5
FARM01,FARM,AD-112,Farm - Centre,,,389,,194,Section,,Forestry Field House,Field House,UBC Farm,,,,3461 Ross Drive,Vancouver,BC,V6T 1W5
GAGE02,GAGE,AD-297,Gage - South Tower,,,869-2,,9772,Highrise,,Walter Gage South Tower,South,Walter Gage Residence,South,,,5959 Student Union Boulevard,Vancouver,BC,V6T 1K2
GAGE05,GAGE,AD-297,Gage - East Tower,,,872-1,,9773,Highrise,,Walter Gage East Tower,East,Walter Gage Residence,East,,,5959 Student Union Boulevard,Vancouver,BC,V6T 1K2
GAGE04,GAGE,AD-297,Gage - North Tower,,,869-3,,9772,Highrise,,Walter Gage North Tower,North,Walter Gage Residence,North,,,5959 Student Union Boulevard,Vancouver,BC,V6T 1K2
ACAP40,ACAP,AD-712,Acadia Park Highrise,,,002-1,,8556,Highrise,,Acadia Park Highrise,Acadia Park Highrise,Acadia Park Residence,Acadia Park Highrise,,,2725 Melfa Road,Vancouver,BC,V6T 1N4
ACDY01,ACDY,AD-33,Academy - townhouses,,,596,,22988,Townhouses,,,,,,,,,,,
BINT01,BINT,AD-35,Binning Tower - highrise,,,598,,,Highrise,REAP Gold,,,,,,,,,,
ACDY02,ACDY,AD-33,Academy - highrise,,,596,,22988,Highrise,,,,,,,,,,,
BINT02,BINT,AD-35,Binning Tower - townhouses,,,598,,,Townhouses,REAP Gold,,,,,,,,,,
ACAP28,ACAP,NOT_JOINED,Acadia Housing 2-25,GBA from OSIS,,009-25,,380,Townhouses,,,,,,,,,,,
ACAP36,ACAP,NOT_JOINED,Acadia Housing 3-7,GBA from OSIS,,010-07,,1233,Townhouses,,,,,,,,,,,
ACAP04,ACAP,NOT_JOINED,Acadia Housing 2-1,GBA from OSIS,,009-01,,647,Townhouses,,,,,,,,,,,
ACAP06,ACAP,NOT_JOINED,Acadia Housing 2-3,GBA from OSIS,,009-03,,201,Townhouses,,,,,,,,,,,
ACAP11,ACAP,NOT_JOINED,Acadia Housing 2-8,GBA from OSIS,,009-08,,841,Townhouses,,,,,,,,,,,
ACAP25,ACAP,NOT_JOINED,Acadia Housing 2-22,GBA from OSIS,,009-22,,396,Townhouses,,,,,,,,,,,
ACAP35,ACAP,NOT_JOINED,Acadia Housing 3-6,GBA from OSIS,,010-06,,1222,Townhouses,,,,,,,,,,,
ACAP10,ACAP,NOT_JOINED,Acadia Housing 2-7,GBA from OSIS,,009-07,,647,Townhouses,,,,,,,,,,,
ACAP09,ACAP,NOT_JOINED,Acadia Housing 2-6,GBA from OSIS,,009-06,,380,Townhouses,,,,,,,,,,,
ACAP22,ACAP,NOT_JOINED,Acadia Housing 2-19,GBA from OSIS,,009-19,,1451,Townhouses,,,,,,,,,,,
ACAP27,ACAP,NOT_JOINED,Acadia Housing 2-24,GBA from OSIS,,009-24,,396,Townhouses,,,,,,,,,,,
ACAP05,ACAP,NOT_JOINED,Acadia Housing 2-2,GBA from OSIS,,009-02,,380,Townhouses,,,,,,,,,,,
ACAP37,ACAP,NOT_JOINED,Acadia Housing 3-8,GBA from OSIS,,010-08,,1125,Townhouses,,,,,,,,,,,
ACAP23,ACAP,NOT_JOINED,Acadia Housing 2-20,GBA from OSIS,,009-20,,294,Townhouses,,,,,,,,,,,
ACAP38,ACAP,NOT_JOINED,Acadia Housing 3-9,GBA from OSIS,,010-09,,1090,Townhouses,,,,,,,,,,,
ACAP19,ACAP,NOT_JOINED,Acadia Housing 2-16,GBA from OSIS,,009-16,,396,Townhouses,,,,,,,,,,,
ACAP18,ACAP,NOT_JOINED,Acadia Housing 2-15,GBA from OSIS,,009-15,,1070,Townhouses,,,,,,,,,,,
ACAP34,ACAP,NOT_JOINED,Acadia Housing 3-5,GBA from OSIS,,010-05,,1785,Townhouses,,,,,,,,,,,
ACAP15,ACAP,NOT_JOINED,Acadia Housing 2-12,GBA from OSIS,,009-12,,1516,Townhouses,,,,,,,,,,,
ACAP13,ACAP,NOT_JOINED,Acadia Housing 2-10,GBA from OSIS,,009-10,,654,Townhouses,,,,,,,,,,,
